'GENE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,"10,000 cell Rep1 (P1)","10,000 cell Rep2 (P2)","10,000 cell Rep3 (P3)",Gene Category
'1110059M19RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1110065P20RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684379327,0,0,3.232146074,1.028966537,4.041506435,
'1110067D22RIK,0,0,0,0,0,0,0,0,0,0,0,1.192824034,0,0,0,0,0,0,1.612462123,0.237035448,0.495805163,
'1190002H23RIK,0.222776242,0.353739556,0.372173069,0,0,10.74342002,0.645818191,0.155236728,0.192525771,0,0.256171851,0,0,0.167962745,0.342628568,0.184732738,0.178692316,0,378.3554384,446.4450449,407.5789542,LPS Response
'1190002N15RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42277166,1.123826176,0.498513832,
'1190003J15RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1190003K10RIK,0,0,0,0,0,0,0,0,0,0,0,0,0.919634173,0,0,0,0,0,0,0,0,
'1190005I06RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662964564,0,2.125376159,
'1190007F08RIK,0,0,0,0,0,0,0,0,0,0,0,0,0.048066003,0,0,0,0,0,0,0,0,
'1190007I07RIK,3.924654388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26613007,7.455455911,7.24951231,
'1200009I06RIK,25.45559455,0,18.8279681,0.046888731,15.93109646,1.76352229,14.5482574,50.84678227,0,28.14823003,0.039166832,75.09527018,57.22576116,20.80231524,0,175.6807619,0.054397947,0,9.395372737,14.22263968,13.99518816,LPS Response
'1200011I18RIK,0.033672427,0.079304679,0,1.585549181,0.711792385,0.070076012,27.8290051,0,0.07928314,0.026181117,0.019190367,0,105.0371671,0,0.051221812,1.798970405,0,0.062528889,4.519079854,8.850799384,6.861955566,
'1200014J11RIK,0.088664426,0.213160036,0.045296602,0.616433169,0.116283769,0,59.58310634,0.100866498,21.78891927,0.418262888,0.035121554,0.317782704,0.077050994,0.134015867,0.228819486,0.170829341,0.041963964,0.179186586,1.969550259,1.533885458,2.094590849,
'1200016B10RIK,1.581242072,16.11451559,45.28246133,0,0.029335454,0.47568429,0.037851952,3.704873232,73.39081878,0.036706524,0,0,146.677419,18.76786767,0,2.586429545,0,0.032692169,5.876326215,7.308370295,6.779034103,
'1300001I01RIK,0,0.027476056,0,0,0,30.6171029,0.127684772,0.05850081,18.40288512,0,0,0,0,0,6.311577269,0,0,0,7.197220471,6.683064454,6.160635422,
'1300002K09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.864829113,4.591547946,5.689503126,
'1300010F03RIK,12.33952256,0,0,0.485672682,0,0,0.018908398,0,0,0,0,0,0.022053221,0,0,0,0,0,4.10203413,1.121061213,1.185168503,
'1300014I06RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078037415,48.14680413,0,0,2.082153593,1.865284689,3.547137427,
'1300017J02RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1300018I17RIK,0,0.103205775,0.144918138,0.089526499,0,0.273018154,0.094240022,0,0.114399135,0.091835671,0,0.228638105,0,0.196085811,0,0.10789657,0.104090893,0,1.077418838,2.770659064,0.809605382,
'1300018J18RIK,0,0.062833914,17.03510892,0,0,6.379213098,71.97612438,0,0,0.557616834,0,1.745153046,0.066967062,0,0,0,0,0,1.302007854,3.753600992,2.750219857,
'1500001M20RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.732657024,6.460349993,7.629639791,
'1500002O20RIK,0,0,0,0,0,0,0,0,0,0,0,0.132182727,0,0,0.193714774,10.10966723,0,0,7.68550202,7.503299923,8.457380823,
'1500003O03RIK,71.44224268,182.1218483,142.5609151,4.299725551,70.74780518,59.52150987,9.054075842,125.5446098,213.5587026,217.6921364,0.0960968,0.112897994,202.9642292,96.70373318,1.102714792,201.5446213,289.9961847,73.5294983,66.65976785,70.63430315,67.75478063,
'1500004A13RIK,4.699218105,3.936822103,0.924452755,2.795113297,11.42984674,2.335502078,2.435837571,3.107286969,1.666434442,5.637862575,4.670504351,9.200025899,5.635776222,3.29550399,3.377892141,26.12876442,6.550440451,1.255472212,2.379207458,3.262863148,1.024211629,
'1500009C09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1500009L16RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661431348,0,0.153259039,
'1500011H22RIK,9.851402142,17.25405186,0.114226792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.354054382,3.393842865,2.282077557,
'1500011K16RIK,0.767132349,0,0,0,0,0,0,1.24999324,0,0.547114002,0,0,1.083713797,0,0,0.849494483,0,0,22.55017927,25.40278997,32.34527463,
