,gene_category
9030025P20RIK,
9030224M15RIK,
9030409G11RIK,
9030418K01RIK,
9030425E11RIK,LPS Response
9030612E09RIK,
9030617O03RIK,
9030619P08RIK,
9030624J02RIK,
9030625A04RIK,LPS Response
9130008F23RIK,
9130011E15RIK,
9130011J15RIK,
9130014G24RIK,LPS Response
9130017N09RIK,LPS Response
9130019O22RIK,
9130019P16RIK,
9130023H24RIK,
9130024F11RIK,
9130204L05RIK,
9130206I24RIK,
9130209A04RIK,
9130221H12RIK,
9130401M01RIK,
9130404H23RIK,
9130409I23RIK,
9230019H11RIK,
9230102K24RIK,
9230104L09RIK,
9230105E10RIK,LPS Response
9230107M04RIK,
9230109A22RIK,
9230110C19RIK,
9230110F15RIK,
9230112D13RIK,
9230113P08RIK,
9230114K14RIK,
9230115E21RIK,
9230116N13RIK,
9330020H09RIK,
9330101J02RIK,
9330111N05RIK,
9330129D05RIK,
9330133O14RIK,
9330151L19RIK,
9330158H04RIK,
9330159F19RIK,
9330171B17RIK,
9330175E14RIK,
9330176C04RIK,
9330182L06RIK,
9430007A20RIK,
9430008C03RIK,
9430015G10RIK,
9430016H08RIK,
9430020K01RIK,
9430021M05RIK,
9430023L20RIK,
9430031J16RIK,
9430038I01RIK,
9430041J12RIK,
9430060I03RIK,
9430069I07RIK,
9430070O13RIK,
9430076C15RIK,LPS Response
9430083A17RIK,
9530002B09RIK,
9530003J23RIK,
9530008L14RIK,
9530009M10RIK,
9530026P05RIK,
9530036O11RIK,
9530053A07RIK,
9530059O14RIK,
9530068E07RIK,
9530077C05RIK,
9530091C08RIK,
9630013A20RIK,
9630014M24RIK,
9630028B13RIK,
9630028H03RIK,
9630033F20RIK,
9830001H06RIK,
9830107B12RIK,
9930012K11RIK,
9930014A18RIK,
9930021D14RIK,
9930021J03RIK,
9930022D16RIK,
9930023K05RIK,
9930032O22RIK,
9930104L06RIK,
9930111J21RIK1,LPS Response
9930111J21RIK2,LPS Response
A,
A030009H04RIK,
A130010J15RIK,
A130022J15RIK,
A130040M12RIK,LPS Response
A130049A11RIK,
A1BG,
A1CF,
A230020J21RIK,
A230046K03RIK,
A230050P20RIK,
A230051G13RIK,
A230056P14RIK,
A230057D06RIK,
A230065H16RIK,
A230072C01RIK,
A230072E10RIK,
A230073K19RIK,
A230083G16RIK,
A2LD1,
A2M,
A330008L17RIK,
A330021E22RIK,
A330023F24RIK,
A330035P11RIK,
